Date,Average_Price
01/01/2017,44.81
01/02/2017,44.81
01/03/2017,43.64
01/04/2017,44.15
01/05/2017,41.22
01/06/2017,45.98
01/07/2017,45.11
01/08/2017,45.11
01/09/2017,44.24
01/10/2017,43.15
01/11/2017,45.88
01/12/2017,44.1
01/13/2017,41.89
01/14/2017,43.87
01/15/2017,43.87
01/16/2017,45.85
01/17/2017,42.68
01/18/2017,43.07
01/19/2017,41.48
01/20/2017,43.05
01/21/2017,43.05
01/22/2017,43.05
01/23/2017,44.61
01/24/2017,43.1
01/25/2017,44.46
01/26/2017,43.81
01/27/2017,43.81
01/28/2017,43.81
01/29/2017,43.81
01/30/2017,43.81
01/31/2017,43.81
02/01/2017,43.81
02/02/2017,43.16
02/03/2017,42.18
02/04/2017,42.89
02/05/2017,42.89
02/06/2017,43.59
02/07/2017,41.63
02/08/2017,42.79
02/09/2017,45.29
02/10/2017,41.39
02/11/2017,43.01
02/12/2017,43.01
02/13/2017,44.63
02/14/2017,44.17
02/15/2017,42.66
02/16/2017,41.31
02/17/2017,42.04
02/18/2017,42.83
02/19/2017,42.83
02/20/2017,43.61
02/21/2017,41.38
02/22/2017,41.46
02/23/2017,42.97
02/24/2017,45.88
02/25/2017,44.08
02/26/2017,44.08
02/27/2017,42.27
02/28/2017,45.91
03/01/2017,47.21
03/02/2017,47.88
03/03/2017,46.96
03/04/2017,48.46
03/05/2017,48.46
03/06/2017,49.96
03/07/2017,46.27
03/08/2017,48.42
03/09/2017,45.35
03/10/2017,49.55
03/11/2017,47.31
03/12/2017,47.31
03/13/2017,45.06
03/14/2017,46.1
03/15/2017,48.61
03/16/2017,49.84
03/17/2017,45.99
03/18/2017,47.06
03/19/2017,47.06
03/20/2017,48.12
03/21/2017,46.14
03/22/2017,48.37
03/23/2017,45.49
03/24/2017,48.23
03/25/2017,46.9
03/26/2017,46.9
03/27/2017,45.56
03/28/2017,46.47
03/29/2017,47.04
03/30/2017,48.02
03/31/2017,46.82
04/01/2017,46.12
04/02/2017,46.12
04/03/2017,45.42
04/04/2017,45.77
04/05/2017,46.76
04/06/2017,44.82
04/07/2017,43.87
04/08/2017,43.84
04/09/2017,43.84
04/10/2017,43.8
04/11/2017,44.95
04/12/2017,47.12
04/13/2017,47.91
04/14/2017,44.83
04/15/2017,46.17
04/16/2017,46.17
04/17/2017,47.51
04/18/2017,45.25
