Date,Average_Price
01/01/2017,23.43
01/02/2017,23.43
01/03/2017,24.31
01/04/2017,23.48
01/05/2017,22.65
01/06/2017,22.54
01/07/2017,23.59
01/08/2017,23.59
01/09/2017,24.63
01/10/2017,22.85
01/11/2017,26.82
01/12/2017,24.74
01/13/2017,22.66
01/14/2017,22.35
01/15/2017,22.35
01/16/2017,22.04
01/17/2017,26.41
01/18/2017,23.91
01/19/2017,24.52
01/20/2017,25.16
01/21/2017,25.16
01/22/2017,25.16
01/23/2017,25.79
01/24/2017,23.32
01/25/2017,25.33
01/26/2017,25.36
01/27/2017,25.36
01/28/2017,25.36
01/29/2017,25.36
01/30/2017,25.36
01/31/2017,25.36
02/01/2017,25.36
02/02/2017,25.38
02/03/2017,26.02
02/04/2017,26.57
02/05/2017,26.57
02/06/2017,27.11
02/07/2017,26.84
02/08/2017,27.58
02/09/2017,25.7
02/10/2017,23.19
02/11/2017,24.7
02/12/2017,24.7
02/13/2017,26.2
02/14/2017,27.3
02/15/2017,23.03
02/16/2017,26.03
02/17/2017,25.47
02/18/2017,26.48
02/19/2017,26.48
02/20/2017,27.49
02/21/2017,26.71
02/22/2017,27.84
02/23/2017,24.11
02/24/2017,26.37
02/25/2017,25.59
02/26/2017,25.59
02/27/2017,24.81
02/28/2017,24.73
03/01/2017,26.55
03/02/2017,26.86
03/03/2017,24.47
03/04/2017,26.43
03/05/2017,26.43
03/06/2017,28.39
03/07/2017,24.9
03/08/2017,25.06
03/09/2017,24.23
03/10/2017,27.99
03/11/2017,27.53
03/12/2017,27.53
03/13/2017,27.06
03/14/2017,24.19
03/15/2017,24.51
03/16/2017,28.94
03/17/2017,28.11
03/18/2017,26.32
03/19/2017,26.32
03/20/2017,24.52
03/21/2017,24.82
03/22/2017,27.56
03/23/2017,27.39
03/24/2017,26.24
03/25/2017,25.21
03/26/2017,25.21
03/27/2017,24.17
03/28/2017,24.44
03/29/2017,25.79
03/30/2017,25.59
03/31/2017,28.29
04/01/2017,27.56
04/02/2017,27.56
04/03/2017,26.82
04/04/2017,27.48
04/05/2017,28.76
04/06/2017,28.24
04/07/2017,28.99
04/08/2017,27.75
04/09/2017,27.75
04/10/2017,26.5
04/11/2017,25.04
04/12/2017,28.33
04/13/2017,24.52
04/14/2017,26.06
04/15/2017,27.47
04/16/2017,27.47
04/17/2017,28.88
04/18/2017,25.09
04/19/2017,24.79
04/20/2017,26.34
04/21/2017,27.23
04/22/2017,26.46
04/23/2017,26.46
04/24/2017,25.68
04/25/2017,26.89
04/26/2017,28.91
04/27/2017,26.64
04/28/2017,26.14
04/29/2017,20.36
04/30/2017,20.36
05/01/2017,20.36
05/02/2017,20.36
05/03/2017,14.57
05/04/2017,12.22
05/05/2017,13.08
05/06/2017,12.82
05/07/2017,12.82
05/08/2017,12.55
05/09/2017,16.09
05/10/2017,13.26
05/11/2017,15.94
05/12/2017,14.64
05/13/2017,13.68
05/14/2017,13.68
05/15/2017,12.71
05/16/2017,16.06
05/17/2017,13.69
05/18/2017,15.21
05/19/2017,15.2
05/20/2017,14.12
05/21/2017,14.12
05/22/2017,13.04
05/23/2017,16.69
05/24/2017,13.13
05/25/2017,16.14
05/26/2017,16.43
05/27/2017,14.44
05/28/2017,14.44
05/29/2017,12.45
05/30/2017,13.97
05/31/2017,15.94
06/01/2017,29.82
06/02/2017,30.75
06/03/2017,31.31
06/04/2017,31.31
06/05/2017,31.87
06/06/2017,27.41
06/07/2017,27.96
06/08/2017,28.09
06/09/2017,27.03
06/10/2017,27.42
06/11/2017,27.42
06/12/2017,27.81
06/13/2017,29.57
