Date,Average_Price
01/01/2017,79.82
01/02/2017,79.82
01/03/2017,80.71
01/04/2017,82.92
01/05/2017,80.85
01/06/2017,78.93
01/07/2017,80.96
01/08/2017,80.96
01/09/2017,82.98
01/10/2017,82.25
01/11/2017,79.84
01/12/2017,80.62
01/13/2017,78.48
01/14/2017,79.77
01/15/2017,79.77
01/16/2017,81.06
01/17/2017,82.69
01/18/2017,78.61
01/19/2017,82.76
01/20/2017,81.74
01/21/2017,81.74
01/22/2017,81.74
01/23/2017,80.71
01/24/2017,82.52
01/25/2017,80.1
01/26/2017,81.26
01/27/2017,81.26
01/28/2017,81.26
01/29/2017,81.26
01/30/2017,81.26
01/31/2017,81.26
02/01/2017,81.26
02/02/2017,82.42
02/03/2017,81.55
02/04/2017,82.28
02/05/2017,82.28
02/06/2017,83
02/07/2017,82.49
02/08/2017,80.48
02/09/2017,80.2
02/10/2017,80.6
02/11/2017,82.35
02/12/2017,82.35
02/13/2017,84.1
02/14/2017,84.01
02/15/2017,83.87
02/16/2017,83.14
02/17/2017,84.59
02/18/2017,82.32
02/19/2017,82.32
02/20/2017,80.04
02/21/2017,81.87
02/22/2017,81.31
02/23/2017,80.28
02/24/2017,81.37
02/25/2017,82.94
02/26/2017,82.94
02/27/2017,84.51
02/28/2017,84.6
03/01/2017,85.17
03/02/2017,83.32
03/03/2017,83.56
03/04/2017,84.03
03/05/2017,84.03
03/06/2017,84.5
03/07/2017,83.24
03/08/2017,87.47
03/09/2017,84.73
03/10/2017,86.34
03/11/2017,85.2
03/12/2017,85.2
03/13/2017,84.05
03/14/2017,84.93
03/15/2017,86.16
03/16/2017,86.65
03/17/2017,87.39
03/18/2017,87.36
03/19/2017,87.36
03/20/2017,87.33
03/21/2017,87.02
03/22/2017,85.93
03/23/2017,83.98
03/24/2017,83.17
03/25/2017,83.64
03/26/2017,83.64
03/27/2017,84.11
03/28/2017,87.28
03/29/2017,87.96
03/30/2017,84.36
03/31/2017,85.02
04/01/2017,85.06
04/02/2017,85.06
04/03/2017,85.09
04/04/2017,86.94
04/05/2017,83.39
04/06/2017,85.87
04/07/2017,84.8
04/08/2017,84.13
04/09/2017,84.13
04/10/2017,83.45
04/11/2017,86.11
04/12/2017,83.67
04/13/2017,87.84
04/14/2017,85.23
04/15/2017,84.49
04/16/2017,84.49
04/17/2017,83.74
04/18/2017,83.03
04/19/2017,85.92
04/20/2017,84.83
04/21/2017,86.54
04/22/2017,85.5
04/23/2017,85.5
04/24/2017,84.46
04/25/2017,87.56
04/26/2017,84.43
04/27/2017,85.66
04/28/2017,84.52
04/29/2017,96.82
