Date,Average_Price
01/01/2017,19.51
01/02/2017,19.51
01/03/2017,19.17
01/04/2017,19.32
01/05/2017,18
01/06/2017,19.85
01/07/2017,20.29
01/08/2017,20.29
01/09/2017,20.72
01/10/2017,18.33
01/11/2017,17.67
01/12/2017,21.04
01/13/2017,19.18
01/14/2017,18.64
01/15/2017,18.64
01/16/2017,18.09
01/17/2017,17.11
01/18/2017,17.16
01/19/2017,19.82
01/20/2017,19.29
01/21/2017,19.29
01/22/2017,19.29
01/23/2017,18.76
01/24/2017,20.4
01/25/2017,21.16
01/26/2017,20.27
01/27/2017,20.27
01/28/2017,20.27
01/29/2017,20.27
01/30/2017,20.27
01/31/2017,20.27
02/01/2017,20.27
02/02/2017,19.37
02/03/2017,17.54
02/04/2017,19.1
02/05/2017,19.1
02/06/2017,20.66
02/07/2017,19.47
02/08/2017,21.15
02/09/2017,21.21
02/10/2017,17.93
02/11/2017,18.48
02/12/2017,18.48
02/13/2017,19.03
02/14/2017,18.46
02/15/2017,21.3
02/16/2017,17.71
02/17/2017,21.35
02/18/2017,21.16
02/19/2017,21.16
02/20/2017,20.96
02/21/2017,20.69
02/22/2017,20.38
02/23/2017,17.41
02/24/2017,18.03
02/25/2017,19.94
02/26/2017,19.94
02/27/2017,21.84
02/28/2017,21.8
03/01/2017,48.04
03/02/2017,50.96
03/03/2017,49.41
03/04/2017,49.65
03/05/2017,49.65
03/06/2017,49.89
03/07/2017,50.71
03/08/2017,47.45
03/09/2017,49.8
03/10/2017,49.9
03/11/2017,49.22
03/12/2017,49.22
03/13/2017,48.53
03/14/2017,50.61
03/15/2017,46.72
03/16/2017,50.67
03/17/2017,48.35
03/18/2017,47.33
03/19/2017,47.33
03/20/2017,46.31
03/21/2017,50.98
03/22/2017,48.56
03/23/2017,47.27
03/24/2017,48.53
03/25/2017,49.63
03/26/2017,49.63
03/27/2017,50.72
03/28/2017,48.07
03/29/2017,49.49
03/30/2017,50.86
03/31/2017,49.39
04/01/2017,48.05
04/02/2017,48.05
04/03/2017,46.7
04/04/2017,45.41
04/05/2017,46.07
04/06/2017,44.98
04/07/2017,44.54
04/08/2017,46.38
04/09/2017,46.38
04/10/2017,48.22
04/11/2017,44.62
04/12/2017,48.15
04/13/2017,45.81
04/14/2017,47.45
04/15/2017,46.55
04/16/2017,46.55
04/17/2017,45.65
04/18/2017,48.84
04/19/2017,44.56
04/20/2017,47.57
04/21/2017,44.37
04/22/2017,45.11
04/23/2017,45.11
04/24/2017,45.84
04/25/2017,46.59
04/26/2017,47.88
04/27/2017,45.85
04/28/2017,46.81
04/29/2017,48.08
04/30/2017,48.08
05/01/2017,48.08
05/02/2017,48.08
05/03/2017,49.35
05/04/2017,51.92
05/05/2017,49.84
05/06/2017,49.53
05/07/2017,49.53
05/08/2017,49.21
05/09/2017,49
05/10/2017,49.18
05/11/2017,51.22
05/12/2017,51.08
05/13/2017,50.78
05/14/2017,50.78
05/15/2017,50.47
05/16/2017,48.37
05/17/2017,49.38
05/18/2017,48.79
05/19/2017,50.59
05/20/2017,50.8
05/21/2017,50.8
05/22/2017,51.01
05/23/2017,47.91
05/24/2017,47.27
05/25/2017,47.38
05/26/2017,50.53
05/27/2017,50.49
05/28/2017,50.49
05/29/2017,50.44
05/30/2017,50.06
05/31/2017,50.28
06/01/2017,47.49
06/02/2017,48.73
06/03/2017,49.27
06/04/2017,49.27
06/05/2017,49.8
06/06/2017,47.73
06/07/2017,49.33
06/08/2017,46.29
06/09/2017,49.27
06/10/2017,48.49
06/11/2017,48.49
06/12/2017,47.71
06/13/2017,45.82
06/14/2017,48.28
06/15/2017,47.71
06/16/2017,45.96
06/17/2017,46.5
06/18/2017,46.5
06/19/2017,47.04
06/20/2017,48.74
06/21/2017,46.98
06/22/2017,48.58
06/23/2017,46.44
06/24/2017,46
06/25/2017,46
06/26/2017,45.55
06/27/2017,46.68
06/28/2017,49.86
06/29/2017,49.2
06/30/2017,46.51
07/01/2017,47.58
07/02/2017,47.58
07/03/2017,48.64
07/04/2017,47.18
07/05/2017,46.38
07/06/2017,50.29
07/07/2017,46.14
07/08/2017,47.75
07/09/2017,47.75
07/10/2017,49.36
07/11/2017,50.94
07/12/2017,48.5
07/13/2017,49.41
07/14/2017,50.05
07/15/2017,50.5
07/16/2017,50.5
07/17/2017,50.95
07/18/2017,46.77
07/19/2017,46.35
07/20/2017,46.91
07/21/2017,48.36
07/22/2017,49.63
07/23/2017,49.63
07/24/2017,50.89
07/25/2017,48.27
07/26/2017,48.69
07/27/2017,50.42
07/28/2017,48.32
07/29/2017,49.46
07/30/2017,49.46
07/31/2017,50.59
08/01/2017,49.78
08/02/2017,51.08
08/03/2017,47.28
08/04/2017,49.32
08/05/2017,49.46
08/06/2017,49.46
08/07/2017,47.87
08/08/2017,48.03
08/09/2017,51.52
08/10/2017,50.5
08/11/2017,50.09
08/12/2017,48.6
08/13/2017,48.6
08/14/2017,51.51
08/15/2017,50.33
08/16/2017,47.86
08/17/2017,48.45
08/18/2017,51.19
08/19/2017,50.92
08/20/2017,50.92
08/21/2017,50.64
08/22/2017,47.93
08/23/2017,49.45
08/24/2017,48.63
08/25/2017,47.49
08/26/2017,48.29
08/27/2017,48.29
08/28/2017,49.09
08/29/2017,51.41
08/30/2017,48.4
08/31/2017,47.48
09/01/2017,49.03
09/02/2017,50.22
09/03/2017,50.22
09/04/2017,50.22
09/05/2017,51.41
09/06/2017,49.52
09/07/2017,50.67
09/08/2017,50.06
09/09/2017,50
09/10/2017,50
09/11/2017,49.93
09/12/2017,48.77
09/13/2017,48.95
09/14/2017,49.57
09/15/2017,49.45
09/16/2017,49.7
09/17/2017,49.7
09/18/2017,49.94
09/19/2017,51.8
09/20/2017,51.31
09/21/2017,51.49
09/22/2017,48.17
09/23/2017,48.91
09/24/2017,48.91
09/25/2017,49.65
09/26/2017,47.87
09/27/2017,50.21
09/28/2017,48.8
09/29/2017,47.51
09/30/2017,48.48
10/01/2017,48.48
10/02/2017,49.44
10/03/2017,50.97
10/04/2017,50.98
10/05/2017,49
10/06/2017,50.95
10/07/2017,51.19
10/08/2017,51.19
10/09/2017,51.42
10/10/2017,51.43
10/11/2017,51.67
10/12/2017,47.03
10/13/2017,49.32
10/14/2017,48.54
10/15/2017,48.54
10/16/2017,47.75
10/17/2017,51.19
10/18/2017,47.09
10/19/2017,47.23
10/20/2017,51.01
10/21/2017,51.33
10/22/2017,51.33
10/23/2017,51.65
10/24/2017,49.97
10/25/2017,50.47
10/26/2017,49.29
10/27/2017,50.05
10/28/2017,49.33
10/29/2017,49.33
10/30/2017,48.61
10/31/2017,48.85
11/01/2017,47.59
11/02/2017,50.4
11/03/2017,49.95
11/04/2017,49.56
11/05/2017,49.56
11/06/2017,49.17
11/07/2017,48.26
11/08/2017,51.37
11/09/2017,47.04
11/10/2017,49.72
11/11/2017,50.43
11/12/2017,50.43
11/13/2017,51.14
11/14/2017,48.89
11/15/2017,49.3
11/16/2017,51.64
11/17/2017,49.42
11/18/2017,48.98
11/19/2017,48.98
11/20/2017,48.53
11/21/2017,50.93
11/22/2017,51.78
11/23/2017,49.36
11/24/2017,47.51
11/25/2017,47.95
11/26/2017,47.95
11/27/2017,48.38
11/28/2017,48.28
11/29/2017,47.77
11/30/2017,47.37
12/01/2017,51.77
12/02/2017,50.42
12/03/2017,50.42
12/04/2017,49.06
12/05/2017,53.72
12/06/2017,51.89
12/07/2017,51.82
12/08/2017,52.2
12/09/2017,52.33
12/10/2017,52.33
12/11/2017,52.46
12/12/2017,50
12/13/2017,52.49
12/14/2017,49.76
12/15/2017,51.33
12/16/2017,50.25
12/17/2017,50.25
12/18/2017,49.16
12/19/2017,51.22
12/20/2017,52.51
12/21/2017,51.93
12/22/2017,50.85
12/23/2017,50.04
12/24/2017,50.04
12/25/2017,49.23
12/26/2017,50.76
12/27/2017,50.47
12/28/2017,50.21
12/29/2017,52.14
12/30/2017,52.76
12/31/2017,52.76
01/01/2018,52.76
01/02/2018,53.37
01/03/2018,51.65
01/04/2018,51.58
01/05/2018,51.33
01/06/2018,53.53
01/07/2018,53.53
01/08/2018,55.72
01/09/2018,53.31
01/10/2018,53.37
01/11/2018,55.98
01/12/2018,53.39
01/13/2018,52.3
01/14/2018,52.3
01/15/2018,51.2
01/16/2018,55.01
01/17/2018,55.6
01/18/2018,52.44
01/19/2018,53.03
01/20/2018,53.71
01/21/2018,53.71
01/22/2018,54.38
01/23/2018,52.64
01/24/2018,51.26
01/25/2018,52.02
01/26/2018,52.98
01/27/2018,53.81
01/28/2018,53.81
01/29/2018,54.63
01/30/2018,53.78
01/31/2018,51.22
02/01/2018,50.13
02/02/2018,48.28
02/03/2018,48.19
02/04/2018,48.19
02/05/2018,48.09
02/06/2018,51.71
02/07/2018,49.12
02/08/2018,52.56
02/09/2018,48.65
02/10/2018,50.06
02/11/2018,50.06
02/12/2018,51.46
02/13/2018,50.53
02/14/2018,50.65
02/15/2018,51.67
02/16/2018,51.67
02/17/2018,51.67
02/18/2018,51.67
02/19/2018,51.67
02/20/2018,51.67
02/21/2018,51.67
02/22/2018,52.68
02/23/2018,49.81
02/24/2018,49.66
02/25/2018,49.66
02/26/2018,49.5
02/27/2018,48.36
02/28/2018,48.8
03/01/2018,53.77
03/02/2018,52.26
03/03/2018,52.01
03/04/2018,52.01
03/05/2018,51.76
03/06/2018,54.9
03/07/2018,54.1
03/08/2018,53.48
03/09/2018,53.56
03/10/2018,54.29
03/11/2018,54.29
03/12/2018,55.02
03/13/2018,53.64
03/14/2018,53.49
03/15/2018,51.29
03/16/2018,53.28
03/17/2018,54.49
03/18/2018,54.49
03/19/2018,55.69
03/20/2018,53.12
03/21/2018,52.68
03/22/2018,52.02
03/23/2018,55.93
03/24/2018,54.66
03/25/2018,54.66
03/26/2018,53.39
03/27/2018,51.47
03/28/2018,54.76
03/29/2018,53.01
03/30/2018,52.01
03/31/2018,53.6
04/01/2018,54.11
04/02/2018,56.2
04/03/2018,58.97
04/04/2018,56.31
04/05/2018,55.15
04/06/2018,58.82
04/07/2018,56.51
04/08/2018,56.51
04/09/2018,54.2
04/10/2018,58.67
04/11/2018,58.18
04/12/2018,58.17
04/13/2018,54.06
04/14/2018,54.23
04/15/2018,54.23
04/16/2018,54.39
04/17/2018,58.57
04/18/2018,54.48
04/19/2018,58.77
04/20/2018,56.97
04/21/2018,57.09
04/22/2018,57.09
04/23/2018,57.2
04/24/2018,54.21
04/25/2018,55.47
04/26/2018,56.72
04/27/2018,55.7
04/28/2018,59.95
04/29/2018,59.95
04/30/2018,59.95
05/01/2018,59.95
05/02/2018,64.19
05/03/2018,62.29
05/04/2018,62.64
05/05/2018,63.35
05/06/2018,63.35
05/07/2018,64.06
05/08/2018,65.83
05/09/2018,66.67
05/10/2018,63.55
05/11/2018,63.04
05/12/2018,63.05
05/13/2018,63.05
05/14/2018,63.06
05/15/2018,64.77
05/16/2018,65.4
05/17/2018,64.22
05/18/2018,65.53
05/19/2018,64.98
05/20/2018,64.98
05/21/2018,64.43
05/22/2018,62.68
05/23/2018,65.69
05/24/2018,65.16
05/25/2018,63.83
05/26/2018,65.35
05/27/2018,65.35
05/28/2018,66.87
05/29/2018,66.6
05/30/2018,63.58
05/31/2018,62.64
06/01/2018,65.3
06/02/2018,66.28
06/03/2018,66.28
06/04/2018,67.26
06/05/2018,66.78
06/06/2018,63.52
06/07/2018,63.75
06/08/2018,63.6
06/09/2018,65.19
06/10/2018,65.19
06/11/2018,66.77
06/12/2018,65.64
06/13/2018,66.2
06/14/2018,64.53
06/15/2018,67.05
06/16/2018,66.62
06/17/2018,66.62
06/18/2018,66.19
06/19/2018,63.32
06/20/2018,66.15
06/21/2018,63.85
06/22/2018,65.57
06/23/2018,64.9
06/24/2018,64.9
06/25/2018,64.23
06/26/2018,63.73
06/27/2018,63.09
06/28/2018,67.2
06/29/2018,67.87
06/30/2018,66.86
07/01/2018,66.86
07/02/2018,65.85
07/03/2018,67.94
07/04/2018,64.75
07/05/2018,67.48
07/06/2018,65.92
07/07/2018,64.83
07/08/2018,64.83
07/09/2018,63.74
07/10/2018,66.2
07/11/2018,66.65
07/12/2018,64.39
07/13/2018,66.39
07/14/2018,64.8
07/15/2018,64.8
07/16/2018,63.2
07/17/2018,65.49
