Date,Average_Price
01/01/2017,89.71
01/02/2017,89.71
01/03/2017,90.7
01/04/2017,91.55
01/05/2017,92.88
01/06/2017,88.72
01/07/2017,90.01
01/08/2017,90.01
01/09/2017,91.3
01/10/2017,91.75
01/11/2017,88.64
01/12/2017,92.75
01/13/2017,90.64
01/14/2017,91.2
01/15/2017,91.2
01/16/2017,91.76
01/17/2017,88.75
01/18/2017,90.63
01/19/2017,91.22
01/20/2017,91.73
01/21/2017,91.73
01/22/2017,91.73
01/23/2017,92.23
01/24/2017,92.02
01/25/2017,91.4
01/26/2017,93.26
01/27/2017,93.26
01/28/2017,93.26
01/29/2017,93.26
01/30/2017,93.26
01/31/2017,93.26
02/01/2017,93.26
02/02/2017,95.11
02/03/2017,96.61
02/04/2017,96.22
02/05/2017,96.22
02/06/2017,95.82
02/07/2017,95.34
02/08/2017,97.18
02/09/2017,97.46
02/10/2017,93.34
02/11/2017,95.57
02/12/2017,95.57
02/13/2017,97.8
02/14/2017,97.93
02/15/2017,97
02/16/2017,95.32
02/17/2017,94.74
02/18/2017,95.57
02/19/2017,95.57
02/20/2017,96.4
02/21/2017,95.35
02/22/2017,96.52
02/23/2017,94.18
02/24/2017,96.31
02/25/2017,96.66
02/26/2017,96.66
02/27/2017,97.01
02/28/2017,97.07
03/01/2017,99.93
03/02/2017,97.06
03/03/2017,98.08
03/04/2017,97.98
03/05/2017,97.98
03/06/2017,97.87
03/07/2017,100.1
03/08/2017,97.42
03/09/2017,98.96
03/10/2017,100.05
03/11/2017,99.68
03/12/2017,99.68
03/13/2017,99.31
03/14/2017,100.33
03/15/2017,100.95
03/16/2017,101.68
03/17/2017,101.1
03/18/2017,101.07
03/19/2017,101.07
03/20/2017,101.04
03/21/2017,100.96
03/22/2017,99.7
03/23/2017,99.46
03/24/2017,101.92
03/25/2017,101.38
03/26/2017,101.38
03/27/2017,100.84
03/28/2017,98.54
03/29/2017,100.65
03/30/2017,101.49
03/31/2017,97.48
04/01/2017,90.71
04/02/2017,90.71
04/03/2017,83.93
04/04/2017,82.08
04/05/2017,82.1
04/06/2017,82.63
04/07/2017,83.17
04/08/2017,83.51
04/09/2017,83.51
04/10/2017,83.85
04/11/2017,85.4
04/12/2017,83.49
04/13/2017,83.94
04/14/2017,82.38
04/15/2017,83.24
04/16/2017,83.24
04/17/2017,84.1
04/18/2017,82.1
04/19/2017,82.07
04/20/2017,83.91
04/21/2017,85.5
04/22/2017,84.93
04/23/2017,84.93
04/24/2017,84.35
04/25/2017,81.71
04/26/2017,82.72
04/27/2017,82.26
04/28/2017,83.24
04/29/2017,78.54
04/30/2017,78.54
05/01/2017,78.54
05/02/2017,78.54
05/03/2017,73.84
05/04/2017,73.5
05/05/2017,73.57
05/06/2017,73.24
05/07/2017,73.24
05/08/2017,72.91
05/09/2017,75.29
05/10/2017,71.31
05/11/2017,72.66
05/12/2017,71.97
05/13/2017,73.48
05/14/2017,73.48
05/15/2017,74.98
05/16/2017,73.36
05/17/2017,73.48
05/18/2017,72.84
05/19/2017,75.97
05/20/2017,73.79
05/21/2017,73.79
05/22/2017,71.61
05/23/2017,75.87
05/24/2017,72.66
05/25/2017,74.86
05/26/2017,71.88
05/27/2017,72.12
05/28/2017,72.12
05/29/2017,72.35
05/30/2017,75.91
05/31/2017,72.31
06/01/2017,136.6
06/02/2017,138.57
06/03/2017,137.38
06/04/2017,137.38
06/05/2017,136.18
06/06/2017,136.01
06/07/2017,136.62
06/08/2017,138.67
06/09/2017,137.26
06/10/2017,137.28
06/11/2017,137.28
06/12/2017,137.3
06/13/2017,136.4
06/14/2017,136.11
06/15/2017,137.88
06/16/2017,134.58
